siteID,stationID,total_time_potential_usage_per_station,total_time_spend_per_station_connected,total_time_spend_per_station_charged,station_utilization_connection_rate,station_utilization_charging_rate,station_utilization_charging_if_connected_rate
1,1-1-179-810,92565327.0,14851213.0,9129143.0,0.16044034501169105,0.09862378598846197,0.614706892965578
1,1-1-193-825,92550788.0,20337636.0,12967601.0,0.21974568168992792,0.1401133505205812,0.6376159451373797
1,1-1-193-829,92530448.0,19595281.0,12539418.0,0.2117711674755968,0.13551666798371062,0.6399202950955386
1,1-1-193-820,92557907.0,22597970.0,12653034.0,0.24414953549025262,0.1367039771113234,0.5599190546761501
1,1-1-193-819,92529999.0,24502518.0,14320879.0,0.26480620625533563,0.15477011947228056,0.584465604718666
1,1-1-194-821,92555812.0,23350328.0,12835917.0,0.25228375717777723,0.13868299270066367,0.5497103509638066
1,1-1-178-817,92598724.0,22445901.0,14689468.0,0.24239967928715736,0.1586357496675656,0.6544387770399593
1,1-1-191-804,85395990.0,10782564.0,6952947.0,0.1262654604741979,0.08142006433791563,0.6448324350312227
1,1-1-194-826,92535686.0,21612726.0,13989011.0,0.23356098532624484,0.15117422915090292,0.6472580552772473
1,1-1-178-823,92485045.0,28272103.0,15011634.0,0.30569378000518893,0.16231417738943632,0.530969839774565
1,1-1-179-788,92551394.0,12735637.0,6998714.0,0.13760610672163404,0.07561975781801838,0.5495378048227977
1,1-1-194-818,92474734.0,19436380.0,12731415.0,0.21018043696130015,0.13767452415705245,0.655030154792199
1,1-1-178-824,92536293.0,20835480.0,13151181.0,0.225160089350024,0.14211916831377716,0.6311916500123828
1,1-1-194-822,92530441.0,21004309.0,13478586.0,0.22699890731094646,0.1456665055773375,0.641705756661645
1,1-1-179-783,92487953.0,13498733.0,7440282.0,0.14595125702479328,0.08044595818873837,0.5511837296137349
1,1-1-193-816,92567556.0,19880763.0,12897834.0,0.21477031326180848,0.13933428252118918,0.6487595068660091
1,1-1-179-798,92479493.0,12499140.0,6666660.0,0.13515580151374748,0.07208798171071289,0.5333694958213125
1,1-1-178-828,92486573.0,25076464.0,14729040.0,0.27113626536902824,0.15925598194669835,0.5873651085735214
1,1-1-179-787,92474095.0,13835938.0,7787667.0,0.14961960968636676,0.0842145792289181,0.5628578994788789
1,1-1-191-792,92030940.0,10959871.0,5785429.0,0.11908898246611412,0.06286395640422666,0.5278738226024741
1,1-1-193-827,92526946.0,22838620.0,11749792.0,0.24683209580914947,0.12698778580674216,0.514470313880611
