date,month,hour,dayOfTheWeek,site1_utilization,site2_utilization,site1_utilization_percentage,site2_utilization_percentage,temperature,precipitation
2018-01-04,1,10,3,0,0,0.0,0.0,21.0,0.0
2018-01-04,1,11,3,0,0,0.0,0.0,22.0,0.0
2018-01-04,1,12,3,0,0,0.0,0.0,24.0,0.0
2018-01-04,1,13,3,0,0,0.0,0.0,24.0,0.0
2018-01-04,1,14,3,0,0,0.0,0.0,23.0,0.0
2018-01-04,1,15,3,0,0,0.0,0.0,23.0,0.0
2018-01-04,1,16,3,0,0,0.0,0.0,21.0,0.0
2018-01-04,1,17,3,0,0,0.0,0.0,20.0,0.0
2018-01-04,1,18,3,0,0,0.0,0.0,19.0,0.0
2018-01-04,1,19,3,0,0,0.0,0.0,18.0,0.0
2018-01-04,1,20,3,0,0,0.0,0.0,16.0,0.0
2018-01-04,1,21,3,0,0,0.0,0.0,16.0,0.0
2018-01-04,1,22,3,0,0,0.0,0.0,16.0,0.0
2018-01-04,1,23,3,0,0,0.0,0.0,16.0,0.0
2018-01-05,1,0,4,0,0,0.0,0.0,16.0,0.0
2018-01-05,1,1,4,0,0,0.0,0.0,15.0,0.0
2018-01-05,1,2,4,0,0,0.0,0.0,13.0,0.0
2018-01-05,1,3,4,0,0,0.0,0.0,14.0,0.0
2018-01-05,1,4,4,0,0,0.0,0.0,12.0,0.0
2018-01-05,1,5,4,0,0,0.0,0.0,13.0,0.0
2018-01-05,1,6,4,0,0,0.0,0.0,13.0,0.0
2018-01-05,1,7,4,0,0,0.0,0.0,13.0,0.0
2018-01-05,1,8,4,0,0,0.0,0.0,16.0,0.0
2018-01-05,1,9,4,0,0,0.0,0.0,18.0,0.0
2018-01-05,1,10,4,0,0,0.0,0.0,21.0,0.0
2018-01-05,1,11,4,0,0,0.0,0.0,22.0,0.0
2018-01-05,1,12,4,0,0,0.0,0.0,23.0,0.0
2018-01-05,1,13,4,0,0,0.0,0.0,23.0,0.0
2018-01-05,1,14,4,0,0,0.0,0.0,22.0,0.0
2018-01-05,1,15,4,0,0,0.0,0.0,21.0,0.0
2018-01-05,1,16,4,0,0,0.0,0.0,19.0,0.0
2018-01-05,1,17,4,0,0,0.0,0.0,19.0,0.0
2018-01-05,1,18,4,0,0,0.0,0.0,18.0,0.0
2018-01-05,1,19,4,0,0,0.0,0.0,18.0,0.0
2018-01-05,1,20,4,0,0,0.0,0.0,17.0,0.0
2018-01-05,1,21,4,0,0,0.0,0.0,17.0,0.0
2018-01-05,1,22,4,0,0,0.0,0.0,16.0,0.0
2018-01-05,1,23,4,0,0,0.0,0.0,16.0,0.0
2018-01-06,1,0,5,0,0,0.0,0.0,16.0,0.0
2018-01-06,1,1,5,0,0,0.0,0.0,16.0,0.0
2018-01-06,1,2,5,0,0,0.0,0.0,16.0,0.0
2018-01-06,1,3,5,0,0,0.0,0.0,14.0,0.0
2018-01-06,1,4,5,0,0,0.0,0.0,14.0,0.0
2018-01-06,1,5,5,0,0,0.0,0.0,14.0,0.0
2018-01-06,1,6,5,0,0,0.0,0.0,15.0,0.0
2018-01-06,1,7,5,0,0,0.0,0.0,16.0,0.0
2018-01-06,1,8,5,0,0,0.0,0.0,16.0,0.0
2018-01-06,1,9,5,0,0,0.0,0.0,17.0,0.0
2018-01-06,1,10,5,0,0,0.0,0.0,19.0,0.0
2018-01-06,1,11,5,0,0,0.0,0.0,21.0,0.0
2018-01-06,1,12,5,0,0,0.0,0.0,21.0,0.0
2018-01-06,1,13,5,0,0,0.0,0.0,21.0,0.0
2018-01-06,1,14,5,0,0,0.0,0.0,21.0,0.0
2018-01-06,1,15,5,0,0,0.0,0.0,19.0,0.0
2018-01-06,1,16,5,0,0,0.0,0.0,18.0,0.0
2018-01-06,1,17,5,0,0,0.0,0.0,18.0,0.0
2018-01-06,1,18,5,0,0,0.0,0.0,17.0,0.0
2018-01-06,1,19,5,0,0,0.0,0.0,16.0,0.0
2018-01-06,1,20,5,0,0,0.0,0.0,16.0,0.0
2018-01-06,1,21,5,0,0,0.0,0.0,15.0,0.0
2018-01-06,1,22,5,0,0,0.0,0.0,15.0,0.0
2018-01-06,1,23,5,0,0,0.0,0.0,14.0,0.0
2018-01-07,1,0,6,0,0,0.0,0.0,14.0,0.0
2018-01-07,1,1,6,0,0,0.0,0.0,14.0,0.0
2018-01-07,1,2,6,0,0,0.0,0.0,13.0,0.0
2018-01-07,1,3,6,0,0,0.0,0.0,12.0,0.0
2018-01-07,1,4,6,0,0,0.0,0.0,12.0,0.0
2018-01-07,1,5,6,0,0,0.0,0.0,11.0,0.0
2018-01-07,1,6,6,0,0,0.0,0.0,11.0,0.0
2018-01-07,1,7,6,0,0,0.0,0.0,11.0,0.0
2018-01-07,1,8,6,0,0,0.0,0.0,11.0,0.0
2018-01-07,1,9,6,0,0,0.0,0.0,12.75,0.0
2018-01-07,1,10,6,0,0,0.0,0.0,18.0,0.0
2018-01-07,1,11,6,0,0,0.0,0.0,20.0,0.0
2018-01-07,1,12,6,0,0,0.0,0.0,22.0,0.0
2018-01-07,1,13,6,0,0,0.0,0.0,23.0,0.0
2018-01-07,1,14,6,0,0,0.0,0.0,24.0,0.0
2018-01-07,1,15,6,0,0,0.0,0.0,23.0,0.0
