siteID,stationID,total_time_potential_usage_per_station,total_time_spend_per_station_connected,total_time_spend_per_station_charged,station_utilization_connection_rate,station_utilization_charging_rate,station_utilization_charging_if_connected_rate
1,1-1-179-810,95384200.0,16376796.0,10545940.0,0.1716929638241973,0.11056275567651666,0.6439562415016954
1,1-1-193-825,94919887.0,22526512.0,14757166.0,0.23732131075967253,0.15546969625027052,0.6551021303253695
1,1-1-193-829,94717743.0,21508359.0,14021398.0,0.22707845772887558,0.14803348935373176,0.6519045920704597
1,1-1-193-820,94731812.0,24930716.0,14406728.0,0.2631715310164235,0.15207909250168253,0.5778706074867646
1,1-1-193-819,94898789.0,26779844.0,15879716.0,0.2821937380043912,0.16733317850873736,0.5929726849790462
1,1-1-194-821,94725383.0,25372924.0,14339504.0,0.2678577082132252,0.15137974158415385,0.5651498424068113
1,1-1-178-817,94778516.0,24709641.0,16756653.0,0.2607093046276437,0.17679800979369628,0.6781423089068757
1,1-1-191-804,88153517.0,12099198.0,8096989.0,0.1372514496500463,0.09185100351696689,0.6692170009946113
1,1-1-194-826,94704671.0,23919255.0,16384657.0,0.25256679261363996,0.17300790792040235,0.6849986339457479
1,1-1-178-823,94721945.0,31014666.0,17200955.0,0.3274285172248099,0.18159419129326368,0.5546071332833312
1,1-1-179-788,95426634.0,14181320.0,7975267.0,0.14860966383871405,0.08357485395534332,0.5623783258540108
1,1-1-194-818,94715267.0,21395685.0,14600206.0,0.22589478631781718,0.15414839088190502,0.6823902109233707
1,1-1-178-824,94726063.0,23064398.0,15499046.0,0.2434852380595613,0.16361965766486042,0.671990051507089
1,1-1-194-822,94698110.0,23153249.0,15514760.0,0.24449536532460892,0.16383389277779672,0.6700899731178117
1,1-1-179-783,95341146.0,14989781.0,8302379.0,0.15722258047957594,0.08708075524915548,0.5538692660019516
1,1-1-193-816,94720333.0,21975467.0,14858617.0,0.2320036923856676,0.15686829352679746,0.6761456764491057
1,1-1-179-798,95422586.0,13950424.0,7601587.0,0.14619624750056553,0.07966234534872069,0.5449000689871505
1,1-1-178-828,94644274.0,27301892.0,16640496.0,0.28846850259530754,0.17582147653222,0.6094997372343279
1,1-1-179-787,95417375.0,15454947.0,9022418.0,0.16197204125558892,0.09455739062199102,0.5837883494521204
1,1-1-191-792,94866363.0,12231079.0,6654113.0,0.12892956589892668,0.07014196380649694,0.5440331960900587
1,1-1-193-827,94719151.0,25252762.0,13172036.0,0.2666067182126664,0.13906412653550917,0.5216077354231589
1,1-1-179-777,95408423.0,16533273.0,9706636.0,0.17328944845886404,0.10173772602865472,0.5870970617856488
1,1-1-179-799,95331388.0,17793769.0,12955496.0,0.18665173531303247,0.1358995843006083,0.7280917269410433
1,1-1-179-796,95388204.0,14943293.0,8672613.0,0.1566576617796473,0.09091913503267134,0.5803682628721795
1,1-1-179-815,95248562.0,16353071.0,8995270.0,0.17168837677570398,0.09443995595440066,0.550066100734229
1,1-1-179-797,95435924.0,14644098.0,8088194.0,0.1534442942051884,0.08474999414266686,0.5523176640855586
1,1-1-179-781,95422334.0,15673686.0,8621543.0,0.16425594871741453,0.0903514160531852,0.5500648028804456
1,1-1-179-800,95426560.0,16648527.0,10760038.0,0.17446428960658333,0.11275726590165254,0.6463057062045189
1,1-1-179-809,95423790.0,15111927.0,9247154.0,0.15836645138492195,0.09690616983458737,0.6119109760125231
1,1-1-179-791,95388662.0,15116714.0,8813246.0,0.15847495586005808,0.092393014171852,0.5830133453606385
1,1-1-179-794,95429562.0,14251561.0,8503580.0,0.14934115489286223,0.0891084462904692,0.5966770938285286
1,1-1-179-779,95396161.0,12888083.0,8384767.0,0.13510064624089013,0.0878941763704726,0.6505829455008941
1,1-1-179-801,95418067.0,13884410.0,9130672.0,0.14551133172714556,0.09569122795162052,0.6576204534438266
1,1-1-179-790,95395707.0,13599427.0,9090957.0,0.14255806081504277,0.09529733869470668,0.6684808852608275
1,1-1-191-802,95422780.0,13214701.0,8049536.0,0.13848581020171494,0.08435654463221466,0.6091349323756928
1,1-1-191-789,95378769.0,13975296.0,5194529.0,0.1465241808688053,0.05446210990624129,0.3716936657370262
1,1-1-191-806,95424173.0,11820215.0,7601049.0,0.12387023778555566,0.07965538249935894,0.6430550544131388
1,1-1-191-785,95226059.0,12854941.0,4732323.0,0.1349939411017734,0.04969567206388327,0.3681326114215538
1,1-1-191-808,95404247.0,13413119.0,8285223.0,0.14059247278582893,0.08684333518192329,0.6176954815654733
1,1-1-191-782,95370331.0,13219304.0,7149492.0,0.13861023508453588,0.07496557813142118,0.5408372483150399
1,1-1-179-813,95335703.0,12645124.0,7907965.0,0.13263786390708213,0.0829486199939177,0.6253766273861767
1,1-1-191-795,94772903.0,12665112.0,8688725.0,0.13363642559308328,0.091679422334462,0.6860361755979734
1,1-1-191-807,95320528.0,15202340.0,8764609.0,0.15948652739313404,0.0919488087602704,0.5765302578418848
1,1-1-191-812,94893079.0,12317317.0,7374231.0,0.12980205858848778,0.07771094665397041,0.5986880909210991
1,1-1-191-803,94988264.0,12208912.0,8154728.0,0.12853074143980567,0.08584984772434624,0.667932408719139
1,1-1-191-778,94989160.0,12040669.0,7697610.0,0.1267583480051829,0.08103672040051728,0.639300856123526
1,1-1-191-811,94987764.0,11790987.0,7834558.0,0.1241316407869123,0.08247965495850602,0.6644531115164489
1,1-1-191-780,94896363.0,12183523.0,7704496.0,0.12838767066341625,0.08118852774157424,0.6323701280820005
1,1-1-191-786,94640876.0,11750174.0,7277539.0,0.12415538081029596,0.07689636135658762,0.619355849538909
1,1-1-191-793,95420348.0,11892385.0,7835373.0,0.12463154085331989,0.0821142781830978,0.6588563185601543
1,1-1-191-784,94801552.0,11479462.0,6562677.0,0.12108938891633335,0.06922541732228181,0.57168855125789
1,1-1-191-805,94984064.0,11889325.0,6501819.0,0.12517178671150564,0.0684516825896184,0.5468619118410843
2,2-39-138-566,102259770.0,4125911.0,2469519.0,0.040347352629484697,0.024149467576545496,0.5985390862769459
2,2-39-79-379,106895429.0,28531899.0,12242174.0,0.2669141165989427,0.11452476606834143,0.429069722979182
2,2-39-79-378,99823550.0,18240893.0,8774215.0,0.18273135948380917,0.08789724468825243,0.4810189391495252
2,2-39-139-28,106916970.0,32031907.0,16987056.0,0.2995960977943913,0.15888082125784148,0.5303167245084721
2,2-39-79-377,106827638.0,19718070.0,10206614.0,0.1845783578964837,0.09554282198020703,0.5176274351394432
2,2-39-125-21,106886115.0,14713271.0,7492382.0,0.13765371676199475,0.07009686898995253,0.5092261265356969
2,2-39-127-19,106909132.0,17757815.0,9483269.0,0.1661019472125169,0.08870401267498833,0.5340335508619726
2,2-39-79-382,106646498.0,13911146.0,7222755.0,0.130441657821713,0.06772613386704925,0.5192063256326976
2,2-39-78-361,106892197.0,9861960.0,6655681.0,0.09226080365810051,0.062265358808183166,0.6748842015177511
2,2-39-91-441,70007152.0,10176271.0,4955220.0,0.14536044831533784,0.07078162528308536,0.48693868313845023
2,2-39-78-366,106739268.0,17794863.0,11429060.0,0.1667133692541343,0.10707455854016162,0.6422673779505917
2,2-39-123-23,106909223.0,17138835.0,7330259.0,0.1603120340702504,0.06856526307370132,0.42769879049538667
2,2-39-79-376,106898855.0,15445401.0,7497147.0,0.14448612195144653,0.07013308982589196,0.48539672100452425
2,2-39-139-567,101553373.0,2200425.0,1313929.0,0.021667670260445214,0.012938309789080072,0.5971251008327937
2,2-39-131-30,106804187.0,28087400.0,13894362.0,0.26298032679187006,0.13009192233259545,0.49468309633501145
2,2-39-91-437,106914510.0,22086370.0,9823587.0,0.20657972430496105,0.09188263594904003,0.44478051395498674
2,2-39-130-564,57044072.0,2996996.0,1861715.0,0.05253825498291917,0.03263643240615782,0.6211936886135316
2,2-39-89-25,106907833.0,21805254.0,8374109.0,0.20396310904552709,0.07833017249540546,0.3840408829908608
2,2-39-78-365,106896142.0,18402419.0,10693948.0,0.17215232145609147,0.10004054215539415,0.5811164282260936
2,2-39-79-381,106648963.0,15200442.0,8632780.0,0.14252779935609874,0.08094574721743895,0.5679295378384391
2,2-39-95-444,101619928.0,9295996.0,4833668.0,0.0914780809527832,0.047566142735310735,0.5199731153068482
2,2-39-79-380,106914884.0,20149693.0,10028557.0,0.1884648072012125,0.09379944704424877,0.4977027193416793
2,2-39-95-27,106919090.0,18336695.0,8176642.0,0.1715006646614744,0.07647504295070226,0.445916889603061
2,2-39-79-383,106641456.0,17835115.0,8400012.0,0.1672437311808646,0.07876872948921478,0.47098165613173787
2,2-39-78-367,104721773.0,11574782.0,7121985.0,0.11052889641201931,0.0680086365611858,0.6153018691842317
2,2-39-88-438,59216262.0,7620400.0,3686964.0,0.12868762300464018,0.06226269398767521,0.483828145504173
2,2-39-90-440,106465160.0,10322934.0,4634410.0,0.09696067708910595,0.043529827034496545,0.4489431008664785
2,2-39-78-364,106911974.0,10337867.0,6361279.0,0.09669512790026681,0.059500154772186696,0.6153376707206623
2,2-39-92-442,106479298.0,12667926.0,6260982.0,0.11897078810568416,0.05879999321558262,0.49423891487841026
2,2-39-138-29,106867089.0,16003092.0,8731587.0,0.14974761780963267,0.08170510754718882,0.5456187466772047
2,2-39-129-17,106422328.0,19453159.0,9910585.0,0.1827920828794499,0.0931250536071716,0.5094589007368931
2,2-39-130-31,106788600.0,12511142.0,6843810.0,0.11715802997698256,0.06408745877368932,0.5470172107390356
2,2-39-89-439,67782124.0,7846078.0,3498057.0,0.11575438385495267,0.051607367747874056,0.4458351038569843
2,2-39-92-436,106469697.0,12928899.0,5319550.0,0.12143266454491741,0.04996304253594335,0.41144648125103306
2,2-39-128-18,106616889.0,9534013.0,4988885.0,0.08942310256304703,0.046792633388505644,0.5232723093622801
2,2-39-90-26,106474456.0,12736719.0,5452107.0,0.11962229701366119,0.05120577465077633,0.428062124947563
2,2-39-124-22,106462340.0,11918351.0,5775572.0,0.11194898590431132,0.05424990658668596,0.4845948906858004
2,2-39-78-363,106901188.0,13382369.0,8078078.0,0.1251844740958351,0.07556583936186004,0.6036358734391497
2,2-39-83-386,99795202.0,3387241.0,1889344.0,0.03394192237819209,0.018932212793156128,0.5577825728963484
2,2-39-128-562,57285789.0,2908461.0,1487100.0,0.05077107343323839,0.025959317763782568,0.5113013377177827
2,2-39-78-360,104217201.0,12238494.0,6979496.0,0.1174325723831328,0.06697067214461075,0.5702904295250707
2,2-39-88-24,106046701.0,12310087.0,5962921.0,0.11608175345313193,0.05622919849246418,0.48439308349323607
2,2-39-123-557,58850448.0,5599100.0,2805272.0,0.09514116188206417,0.04766781044725437,0.5010219499562429
2,2-39-124-558,58515749.0,4048098.0,1691352.0,0.06917963230719305,0.028904218589084454,0.4178139956097901
2,2-39-78-362,104483978.0,10440778.0,10486983.0,0.09992707207223676,0.10036929298384868,1.0044254364952496
2,2-39-126-20,106700236.0,8285386.0,4587359.0,0.0776510559920411,0.04299296020301211,0.5536687125983026
2,2-39-126-560,61810528.0,3086097.0,1499905.0,0.04992833906871011,0.024266173555417613,0.4860200440880504
2,2-39-83-387,89823076.0,885751.0,565373.0,0.009861062874310829,0.006294295688560031,0.6382978963613928
